Before inserting remove last two coloumns of each row, first few rows will be 
 (1, 'Adilabad', 'Aurangabad', '2022-06-29', '1A', 2000),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '2A', 1800),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '2S', 110),
..
..
..

INSERT INTO `classseats (`train_number`, `start_point`, `destination_point`, `journey_date`, `class_name`, `ticket_fare1`) VALUES
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '1A', 2000, 46, 4),
(1, 'Adilabad', 'Mumbai', '2022-06-29', '3A', 2400, 172, 17),
(1, 'Adilabad', 'Mumbai', '2022-06-29', 'SL', 900, 360, 0),
(1, 'Adilabad', 'Mumbai', '2022-06-30', '1A', 3000, 60, 0),
(1, 'Adilabad', 'Mumbai', '2022-06-30', '2A', 2700, 120, 0),
(1, 'Adilabad', 'Mumbai', '2022-06-30', '2S', 120, 360, 0),
(1, 'Adilabad', 'Mumbai', '2022-06-30', '3A', 2400, 180, 0),
(1, 'Adilabad', 'Mumbai', '2022-06-30', 'SL', 900, 360, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-03', '1A', 2400, 40, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-03', '2A', 2100, 30, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-03', '2S', 50, 120, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-03', '3A', 1800, 40, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-03', 'SL', 800, 80, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-04', '1A', 2700, 40, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-04', '2A', 2400, 40, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-04', '2S', 50, 120, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-04', '3A', 1800, 30, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-04', 'SL', 400, 80, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-13', '1A', 3000, 60, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-13', '2A', 2700, 120, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-13', '2S', 120, 360, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-13', '3A', 2400, 180, 0),
(1, 'Adilabad', 'Mumbai', '2022-07-13', 'SL', 900, 360, 0),
(1, 'Adilabad', 'Nanded', '2022-06-29', '1A', 1000, 36, 4),
(1, 'Adilabad', 'Nanded', '2022-06-29', '2A', 900, 80, 0),
(1, 'Adilabad', 'Nanded', '2022-06-29', '2S', 100, 240, 0),
(1, 'Adilabad', 'Nanded', '2022-06-29', '3A', 800, 120, 6),
(1, 'Adilabad', 'Nanded', '2022-06-29', 'SL', 300, 240, 0),
(1, 'Adilabad', 'Nanded', '2022-06-30', '1A', 1000, 40, 0),
(1, 'Adilabad', 'Nanded', '2022-06-30', '2A', 900, 80, 0),
(1, 'Adilabad', 'Nanded', '2022-06-30', '2S', 100, 240, 0),
(1, 'Adilabad', 'Nanded', '2022-06-30', '3A', 800, 120, 0),
(1, 'Adilabad', 'Nanded', '2022-06-30', 'SL', 300, 240, 0),
(1, 'Adilabad', 'Nanded', '2022-07-03', '1A', 800, 52, 0),
(1, 'Adilabad', 'Nanded', '2022-07-03', '2A', 700, 30, 0),
(1, 'Adilabad', 'Nanded', '2022-07-03', '2S', 50, 120, 0),
(1, 'Adilabad', 'Nanded', '2022-07-03', '3A', 600, 40, 0),
(1, 'Adilabad', 'Nanded', '2022-07-03', 'SL', 400, 80, 0),
(1, 'Adilabad', 'Nanded', '2022-07-04', '1A', 900, 40, 0),
(1, 'Adilabad', 'Nanded', '2022-07-04', '2A', 800, 40, 0),
(1, 'Adilabad', 'Nanded', '2022-07-04', '2S', 50, 120, 0),
(1, 'Adilabad', 'Nanded', '2022-07-04', '3A', 800, 20, 0),
(1, 'Adilabad', 'Nanded', '2022-07-04', 'SL', 200, 80, 0),
(1, 'Adilabad', 'Nanded', '2022-07-13', '1A', 1000, 40, 0),
(1, 'Adilabad', 'Nanded', '2022-07-13', '2A', 900, 80, 0),
(1, 'Adilabad', 'Nanded', '2022-07-13', '2S', 100, 240, 0),
(1, 'Adilabad', 'Nanded', '2022-07-13', '3A', 800, 120, 0),
(1, 'Adilabad', 'Nanded', '2022-07-13', 'SL', 300, 240, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-29', '1A', 1000, 86, 4),
(1, 'Aurangabad', 'Mumbai', '2022-06-29', '2A', 2700, 180, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-29', '2S', 150, 380, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-29', '3A', 2400, 265, 11),
(1, 'Aurangabad', 'Mumbai', '2022-06-29', 'SL', 300, 380, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-30', '1A', 1000, 90, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-30', '2A', 2700, 180, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-30', '2S', 150, 380, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-30', '3A', 2400, 270, 0),
(1, 'Aurangabad', 'Mumbai', '2022-06-30', 'SL', 300, 380, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-03', '1A', 800, 40, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-03', '2A', 700, 30, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-03', '2S', 50, 120, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-03', '3A', 1800, 40, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-03', 'SL', 800, 80, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-04', '1A', 900, 40, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-04', '2A', 800, 40, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-04', '2S', 50, 120, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-04', '3A', 820, 30, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-04', 'SL', 400, 80, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-13', '1A', 1000, 90, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-13', '2A', 2700, 180, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-13', '2S', 150, 380, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-13', '3A', 2400, 270, 0),
(1, 'Aurangabad', 'Mumbai', '2022-07-13', 'SL', 300, 380, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-29', '1A', 1000, 66, 4),
(1, 'Nanded', 'Aurangabad', '2022-06-29', '2A', 900, 140, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-29', '2S', 130, 320, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-29', '3A', 800, 202, 17),
(1, 'Nanded', 'Aurangabad', '2022-06-29', 'SL', 300, 320, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-30', '1A', 1000, 70, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-30', '2A', 900, 140, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-30', '2S', 130, 320, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-30', '3A', 800, 210, 0),
(1, 'Nanded', 'Aurangabad', '2022-06-30', 'SL', 300, 320, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-03', '1A', 800, 40, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-03', '2A', 700, 30, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-03', '2S', 50, 120, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-03', '3A', 600, 40, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-03', 'SL', 800, 80, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-04', '1A', 900, 40, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-04', '2A', 800, 40, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-04', '2S', 50, 120, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-04', '3A', 300, 30, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-04', 'SL', 200, 80, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-13', '1A', 1000, 70, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-13', '2A', 900, 140, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-13', '2S', 130, 320, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-13', '3A', 800, 210, 0),
(1, 'Nanded', 'Aurangabad', '2022-07-13', 'SL', 300, 320, 0),
(1, 'Nanded', 'Mumbai', '2022-06-29', '1A', 2000, 76, 4),
(1, 'Nanded', 'Mumbai', '2022-06-29', '2A', 1800, 160, 0),
(1, 'Nanded', 'Mumbai', '2022-06-29', '2S', 140, 340, 0),
(1, 'Nanded', 'Mumbai', '2022-06-29', '3A', 1600, 232, 17),
(1, 'Nanded', 'Mumbai', '2022-06-29', 'SL', 600, 340, 0),
(1, 'Nanded', 'Mumbai', '2022-06-30', '1A', 2000, 80, 0),
(1, 'Nanded', 'Mumbai', '2022-06-30', '2A', 1800, 160, 0),
(1, 'Nanded', 'Mumbai', '2022-06-30', '2S', 140, 340, 0),
(1, 'Nanded', 'Mumbai', '2022-06-30', '3A', 1600, 240, 0),
(1, 'Nanded', 'Mumbai', '2022-06-30', 'SL', 600, 340, 0),
(1, 'Nanded', 'Mumbai', '2022-07-03', '1A', 800, 40, 0),
(1, 'Nanded', 'Mumbai', '2022-07-03', '2A', 1400, 30, 0),
(1, 'Nanded', 'Mumbai', '2022-07-03', '2S', 50, 120, 0),
(1, 'Nanded', 'Mumbai', '2022-07-03', '3A', 1200, 40, 0),
(1, 'Nanded', 'Mumbai', '2022-07-03', 'SL', 800, 80, 0),
(1, 'Nanded', 'Mumbai', '2022-07-04', '1A', 1800, 40, 0),
(1, 'Nanded', 'Mumbai', '2022-07-04', '2A', 1600, 40, 0),
(1, 'Nanded', 'Mumbai', '2022-07-04', '2S', 50, 120, 0),
(1, 'Nanded', 'Mumbai', '2022-07-04', '3A', 500, 30, 0),
(1, 'Nanded', 'Mumbai', '2022-07-04', 'SL', 300, 80, 0),
(1, 'Nanded', 'Mumbai', '2022-07-13', '1A', 2000, 80, 0),
(1, 'Nanded', 'Mumbai', '2022-07-13', '2A', 1800, 160, 0),
(1, 'Nanded', 'Mumbai', '2022-07-13', '2S', 140, 340, 0),
(1, 'Nanded', 'Mumbai', '2022-07-13', '3A', 1600, 240, 0),
(1, 'Nanded', 'Mumbai', '2022-07-13', 'SL', 600, 340, 0),
(2, 'Aurangabad', 'Adilabad', '2022-06-29', '1A', 2000, 80, 0),
(2, 'Aurangabad', 'Adilabad', '2022-06-29', '2A', 1800, 140, 0),
(2, 'Aurangabad', 'Adilabad', '2022-06-29', '2S', 200, 340, 0),
(2, 'Aurangabad', 'Adilabad', '2022-06-29', '3A', 1600, 180, 0),
(2, 'Aurangabad', 'Adilabad', '2022-06-29', 'SL', 800, 340, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-03', '1A', 1800, 40, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-03', '2A', 1800, 30, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-03', '2S', 150, 120, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-03', '3A', 1600, 40, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-03', 'SL', 300, 240, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-04', '1A', 1800, 40, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-04', '2A', 1400, 30, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-04', '2S', 150, 120, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-04', '3A', 1600, 40, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-04', 'SL', 800, 240, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-13', '1A', 2000, 80, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-13', '2A', 1800, 140, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-13', '2S', 200, 340, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-13', '3A', 1600, 180, 0),
(2, 'Aurangabad', 'Adilabad', '2022-07-13', 'SL', 800, 340, 0),
(2, 'Aurangabad', 'Nanded', '2022-06-29', '1A', 1000, 70, 0),
(2, 'Aurangabad', 'Nanded', '2022-06-29', '2A', 900, 120, 0),
(2, 'Aurangabad', 'Nanded', '2022-06-29', '2S', 100, 320, 0),
(2, 'Aurangabad', 'Nanded', '2022-06-29', '3A', 800, 160, 0),
(2, 'Aurangabad', 'Nanded', '2022-06-29', 'SL', 400, 320, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-03', '1A', 1000, 40, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-03', '2A', 800, 30, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-03', '2S', 100, 120, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-03', '3A', 600, 40, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-03', 'SL', 300, 240, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-04', '1A', 1000, 40, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-04', '2A', 800, 30, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-04', '2S', 100, 120, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-04', '3A', 600, 40, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-04', 'SL', 400, 240, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-13', '1A', 1000, 70, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-13', '2A', 900, 120, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-13', '2S', 100, 320, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-13', '3A', 800, 160, 0),
(2, 'Aurangabad', 'Nanded', '2022-07-13', 'SL', 400, 320, 0),
(2, 'Mumbai', 'Adilabad', '2022-06-29', '1A', 3000, 56, 4),
(2, 'Mumbai', 'Adilabad', '2022-06-29', '2A', 2700, 120, 0),
(2, 'Mumbai', 'Adilabad', '2022-06-29', '2S', 300, 400, 0),
(2, 'Mumbai', 'Adilabad', '2022-06-29', '3A', 2400, 180, 0),
(2, 'Mumbai', 'Adilabad', '2022-06-29', 'SL', 1200, 400, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-03', '1A', 2400, 40, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-03', '2A', 2400, 30, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-03', '2S', 200, 120, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-03', '3A', 1800, 40, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-03', 'SL', 400, 240, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-04', '1A', 1200, 40, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-04', '2A', 2400, 30, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-04', '2S', 350, 120, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-04', '3A', 1800, 40, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-04', 'SL', 800, 240, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-13', '1A', 3000, 60, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-13', '2A', 2700, 120, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-13', '2S', 300, 400, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-13', '3A', 2400, 180, 0),
(2, 'Mumbai', 'Adilabad', '2022-07-13', 'SL', 1200, 400, 0),
(2, 'Mumbai', 'Aurangabad', '2022-06-29', '1A', 1000, 36, 4),
(2, 'Mumbai', 'Aurangabad', '2022-06-29', '2A', 900, 80, 0),
(2, 'Mumbai', 'Aurangabad', '2022-06-29', '2S', 100, 320, 0),
(2, 'Mumbai', 'Aurangabad', '2022-06-29', '3A', 800, 120, 0),
(2, 'Mumbai', 'Aurangabad', '2022-06-29', 'SL', 400, 320, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-03', '1A', 1000, 52, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-03', '2A', 1000, 30, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-03', '2S', 100, 120, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-03', '3A', 800, 40, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-03', 'SL', 400, 240, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-04', '1A', 1200, 52, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-04', '2A', 1000, 30, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-04', '2S', 100, 120, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-04', '3A', 600, 40, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-04', 'SL', 400, 240, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-13', '1A', 1000, 40, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-13', '2A', 900, 80, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-13', '2S', 100, 320, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-13', '3A', 800, 120, 0),
(2, 'Mumbai', 'Aurangabad', '2022-07-13', 'SL', 400, 320, 0),
(2, 'Mumbai', 'Nanded', '2022-06-29', '1A', 2000, 46, 4),
(2, 'Mumbai', 'Nanded', '2022-06-29', '2A', 1800, 100, 0),
(2, 'Mumbai', 'Nanded', '2022-06-29', '2S', 200, 360, 0),
(2, 'Mumbai', 'Nanded', '2022-06-29', '3A', 1600, 150, 0),
(2, 'Mumbai', 'Nanded', '2022-06-29', 'SL', 800, 360, 0),
(2, 'Mumbai', 'Nanded', '2022-07-03', '1A', 1300, 40, 0),
(2, 'Mumbai', 'Nanded', '2022-07-03', '2A', 900, 30, 0),
(2, 'Mumbai', 'Nanded', '2022-07-03', '2S', 150, 120, 0),
(2, 'Mumbai', 'Nanded', '2022-07-03', '3A', 1200, 40, 0),
(2, 'Mumbai', 'Nanded', '2022-07-03', 'SL', 600, 240, 0),
(2, 'Mumbai', 'Nanded', '2022-07-04', '1A', 2000, 40, 0),
(2, 'Mumbai', 'Nanded', '2022-07-04', '2A', 1600, 30, 0),
(2, 'Mumbai', 'Nanded', '2022-07-04', '2S', 150, 120, 0),
(2, 'Mumbai', 'Nanded', '2022-07-04', '3A', 800, 40, 0),
(2, 'Mumbai', 'Nanded', '2022-07-04', 'SL', 450, 240, 0),
(2, 'Mumbai', 'Nanded', '2022-07-13', '1A', 2000, 50, 0),
(2, 'Mumbai', 'Nanded', '2022-07-13', '2A', 1800, 100, 0),
(2, 'Mumbai', 'Nanded', '2022-07-13', '2S', 200, 360, 0),
(2, 'Mumbai', 'Nanded', '2022-07-13', '3A', 1600, 150, 0),
(2, 'Mumbai', 'Nanded', '2022-07-13', 'SL', 800, 360, 0),
(2, 'Nanded', 'Adilabad', '2022-06-30', '1A', 1000, 70, 0),
(2, 'Nanded', 'Adilabad', '2022-06-30', '2A', 900, 120, 0),
(2, 'Nanded', 'Adilabad', '2022-06-30', '2S', 100, 340, 0),
(2, 'Nanded', 'Adilabad', '2022-06-30', '3A', 800, 160, 0),
(2, 'Nanded', 'Adilabad', '2022-06-30', 'SL', 400, 340, 0),
(2, 'Nanded', 'Adilabad', '2022-07-04', '1A', 900, 40, 0),
(2, 'Nanded', 'Adilabad', '2022-07-04', '2A', 2700, 30, 0),
(2, 'Nanded', 'Adilabad', '2022-07-04', '2S', 100, 120, 0),
(2, 'Nanded', 'Adilabad', '2022-07-04', '3A', 300, 40, 0),
(2, 'Nanded', 'Adilabad', '2022-07-04', 'SL', 300, 240, 0),
(2, 'Nanded', 'Adilabad', '2022-07-05', '1A', 800, 40, 0),
(2, 'Nanded', 'Adilabad', '2022-07-05', '2A', 2700, 30, 0),
(2, 'Nanded', 'Adilabad', '2022-07-05', '2S', 350, 120, 0),
(2, 'Nanded', 'Adilabad', '2022-07-05', '3A', 2400, 40, 0),
(2, 'Nanded', 'Adilabad', '2022-07-05', 'SL', 400, 240, 0),
(2, 'Nanded', 'Adilabad', '2022-07-14', '1A', 1000, 70, 0),
(2, 'Nanded', 'Adilabad', '2022-07-14', '2A', 900, 120, 0),
(2, 'Nanded', 'Adilabad', '2022-07-14', '2S', 100, 340, 0),
(2, 'Nanded', 'Adilabad', '2022-07-14', '3A', 800, 160, 0),
(2, 'Nanded', 'Adilabad', '2022-07-14', 'SL', 400, 340, 0),
(3, 'Aurangabad', 'Mumbai', '2022-06-29', '1A', 1500, 50, 0),
(3, 'Aurangabad', 'Mumbai', '2022-06-29', '2A', 1300, 96, 4),
(3, 'Aurangabad', 'Mumbai', '2022-06-29', '2S', 180, 360, 3),
(3, 'Aurangabad', 'Mumbai', '2022-06-29', '3A', 1600, 120, 0),
(3, 'Aurangabad', 'Mumbai', '2022-06-29', 'SL', 500, 360, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-03', '1A', 580, 20, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-03', '2A', 440, 40, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-03', '3A', 5440, 40, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-04', '1A', 450, 30, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-04', '2A', 870, 30, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-04', '3A', 540, 30, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-13', '1A', 1500, 50, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-13', '2A', 1300, 100, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-13', '2S', 180, 360, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-13', '3A', 1600, 120, 0),
(3, 'Aurangabad', 'Mumbai', '2022-07-13', 'SL', 500, 360, 0),
(3, 'Aurangabad', 'Nashik', '2022-06-29', '1A', 1000, 40, 0),
(3, 'Aurangabad', 'Nashik', '2022-06-29', '2A', 900, 76, 4),
(3, 'Aurangabad', 'Nashik', '2022-06-29', '2S', 90, 360, 3),
(3, 'Aurangabad', 'Nashik', '2022-06-29', '3A', 800, 120, 0),
(3, 'Aurangabad', 'Nashik', '2022-06-29', 'SL', 250, 360, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-03', '1A', 780, 50, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-03', '2A', 44, 60, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-03', '3A', 450, 40, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-04', '1A', 650, 30, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-04', '2A', 340, 30, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-04', '3A', 340, 30, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-13', '1A', 1000, 40, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-13', '2A', 900, 80, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-13', '2S', 90, 360, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-13', '3A', 800, 120, 0),
(3, 'Aurangabad', 'Nashik', '2022-07-13', 'SL', 250, 360, 0),
(3, 'Basar', 'Aurangabad', '2022-06-29', '1A', 1500, 50, 0),
(3, 'Basar', 'Aurangabad', '2022-06-29', '2A', 1300, 96, 4),
(3, 'Basar', 'Aurangabad', '2022-06-29', '2S', 180, 360, 3),
(3, 'Basar', 'Aurangabad', '2022-06-29', '3A', 1200, 120, 0),
(3, 'Basar', 'Aurangabad', '2022-06-29', 'SL', 500, 360, 0),
(3, 'Basar', 'Aurangabad', '2022-07-03', '1A', 500, 59, 0),
(3, 'Basar', 'Aurangabad', '2022-07-03', '2A', 440, 87, 0),
(3, 'Basar', 'Aurangabad', '2022-07-03', '3A', 550, 40, 0),
(3, 'Basar', 'Aurangabad', '2022-07-04', '1A', 450, 30, 0),
(3, 'Basar', 'Aurangabad', '2022-07-04', '2A', 550, 30, 0),
(3, 'Basar', 'Aurangabad', '2022-07-04', '3A', 560, 30, 0),
(3, 'Basar', 'Aurangabad', '2022-07-13', '1A', 1500, 50, 0),
(3, 'Basar', 'Aurangabad', '2022-07-13', '2A', 1300, 100, 0),
(3, 'Basar', 'Aurangabad', '2022-07-13', '2S', 180, 360, 0),
(3, 'Basar', 'Aurangabad', '2022-07-13', '3A', 1200, 120, 0),
(3, 'Basar', 'Aurangabad', '2022-07-13', 'SL', 500, 360, 0),
(3, 'Basar', 'Mumbai', '2022-06-29', '1A', 2500, 70, 0),
(3, 'Basar', 'Mumbai', '2022-06-29', '2A', 2100, 116, 4),
(3, 'Basar', 'Mumbai', '2022-06-29', '2S', 360, 360, 3),
(3, 'Basar', 'Mumbai', '2022-06-29', '3A', 2000, 120, 0),
(3, 'Basar', 'Mumbai', '2022-06-29', 'SL', 1000, 360, 0),
(3, 'Basar', 'Mumbai', '2022-07-03', '1A', 200, 20, 0),
(3, 'Basar', 'Mumbai', '2022-07-03', '2A', 440, 32, 0),
(3, 'Basar', 'Mumbai', '2022-07-03', '3A', 550, 40, 0),
